Country,Continent,Age Group,Suicide Rate
Austria,Europe,15-19,5.5
Belgium,Europe,15-19,5.5
Czech Republic,Europe,15-19,6.1
Denmark,Europe,15-19,3.5
Estonia,Europe,15-19,12.1
Finland,Europe,15-19,10.8
France,Europe,15-19,3
Germany,Europe,15-19,4
Greece,Europe,15-19,1.5
Hungary,Europe,15-19,4.5
Iceland,Europe,15-19,8.9
Ireland,Europe,15-19,5.4
Israel,Asia,15-19,2.3
Italy,Europe,15-19,2.5
Japan,Asia,15-19,11.4
Korea,Asia,15-19,10.4
Latvia,Europe,15-19,3.3
Lithuania,Europe,15-19,8.5
Luxembourg,Europe,15-19,0
Netherlands,Europe,15-19,5.2
Norway,Europe,15-19,10.1
Poland,Europe,15-19,6.9
Portugal,Europe,15-19,2.2
Slovak Republic,Europe,15-19,4.9
Slovenia,Europe,15-19,8.5
Spain,Europe,15-19,2.2
Sweden,Europe,15-19,7.8
Switzerland,Europe,15-19,7.4
Turkey,Asia,15-19,5
United Kingdom,Europe,15-19,4.9
Austria,Europe,20-24,7.6
Belgium,Europe,20-24,10.6
Czech Republic,Europe,20-24,10.1
Denmark,Europe,20-24,11.2
Estonia,Europe,20-24,17.6
Finland,Europe,20-24,15.7
France,Europe,20-24,5.3
Germany,Europe,20-24,7.1
Greece,Europe,20-24,3
Hungary,Europe,20-24,8.7
Iceland,Europe,20-24,7.8
Ireland,Europe,20-24,14.5
Israel,Asia,20-24,6.2
Italy,Europe,20-24,5
Japan,Asia,20-24,21
Korea,Asia,20-24,19.6
Latvia,Europe,20-24,13.3
Lithuania,Europe,20-24,17.7
Luxembourg,Europe,20-24,2.6
Netherlands,Europe,20-24,9
Norway,Europe,20-24,10.8
Poland,Europe,20-24,11.8
Portugal,Europe,20-24,4.8
Slovak Republic,Europe,20-24,6.4
Slovenia,Europe,20-24,9.7
Spain,Europe,20-24,5.2
Sweden,Europe,20-24,15.5
Switzerland,Europe,20-24,11.1
Turkey,Asia,20-24,6.3
United Kingdom,Europe,20-24,8.8
Austria,Europe,25-29,6.8
Belgium,Europe,25-29,11.5
Czech Republic,Europe,25-29,10.9
Denmark,Europe,25-29,8.5
Estonia,Europe,25-29,21.5
Finland,Europe,25-29,18.6
France,Europe,25-29,8
Germany,Europe,25-29,7.3
Greece,Europe,25-29,3.7
Hungary,Europe,25-29,8.9
Iceland,Europe,25-29,16.5
Ireland,Europe,25-29,11.3
Israel,Asia,25-29,4.7
Italy,Europe,25-29,4.6
Japan,Asia,25-29,19.7
Korea,Asia,25-29,23.7
Latvia,Europe,25-29,7.9
Lithuania,Europe,25-29,15.7
Luxembourg,Europe,25-29,4.2
Netherlands,Europe,25-29,8.9
