region,generation,sex,year,suicides_no,population,suicides_per_100k
Asia,Boomers,female,1985,1543,14413095,10.70554242513492
Asia,Boomers,female,1986,1577,14334941,11.001091668253116
Asia,Boomers,female,1987,1108,13298286,8.331900817894878
Asia,Boomers,female,1988,776,8655300,8.965604889489677
Asia,Boomers,female,1989,798,8651100,9.22426049866491
Asia,Boomers,female,1990,1339,18536321,7.22365565421531
Asia,Boomers,female,1991,3868,49898304,7.751766472864489
Asia,Boomers,female,1992,3976,60899037,6.528838871458674
Asia,Boomers,female,1993,3365,48697588,6.9099931602361915
Asia,Boomers,female,1994,3534,50669550,6.974603090021521
Asia,Boomers,female,1995,2721,32490325,8.37480080608612
Asia,Boomers,female,1996,2886,34863699,8.277951229443554
Asia,Boomers,female,1997,3135,41989739,7.466109756004913
Asia,Boomers,female,1998,3435,42800538,8.02560005203673
Asia,Boomers,female,1999,3454,43797287,7.886333233380415
Asia,Boomers,female,2000,3481,45084122,7.721121861927354
Asia,Boomers,female,2001,2898,36607661,7.916375755337113
Asia,Boomers,female,2002,3355,45145326,7.431555594481696
Asia,Boomers,female,2003,3335,46178426,7.221987167773974
Asia,Boomers,female,2004,2887,35878072,8.046697715529419
Asia,Boomers,female,2005,2888,34917899,8.270829811381263
Asia,Boomers,female,2006,3148,44312545,7.104083053681525
Asia,Boomers,female,2007,3105,42712990,7.2694512840239005
Asia,Boomers,female,2008,3060,41365693,7.3974343908610445
Asia,Boomers,female,2009,3249,54878852,5.920313347662593
Asia,Boomers,female,2011,3365,36131372,9.313236153888647
Asia,Boomers,female,2012,3107,32197742,9.649745003857724
Asia,Boomers,female,2013,3059,32625165,9.376197790877072
Asia,Boomers,female,2014,3020,33127404,9.116319528086173
Asia,Boomers,female,2015,2723,32261428,8.44041993429429
Asia,Boomers,female,2016,229,6448399,3.551269082449768
Asia,Boomers,male,1985,3538,14462434,24.463378709282267
Asia,Boomers,male,1986,3622,14364701,25.214586784646613
Asia,Boomers,male,1987,2489,13293294,18.72372641423563
Asia,Boomers,male,1988,1877,8826300,21.265989146074798
Asia,Boomers,male,1989,1727,8834200,19.549025378642096
Asia,Boomers,male,1990,3282,18392353,17.84437260420132
Asia,Boomers,male,1991,10488,48977196,21.4140474681319
Asia,Boomers,male,1992,11091,60263932,18.404043068414456
Asia,Boomers,male,1993,10400,48717045,21.347764422082662
Asia,Boomers,male,1994,11297,50427650,22.402392338330262
Asia,Boomers,male,1995,8829,31826777,27.740791975260333
