Country,Continent,Drug,Poisoning,Hanging,Jumping,Other
Belgium,Europe,12.1,3.6,47.1,5.45,31.75
England,Europe,27.85,8,45.9,3.15,15.1
Estonia,Europe,5.4,2.5,74.95,6.9,10.25
Finland,Europe,33.7,3.65,27.05,5.65,29.95
Germany,Europe,15.7,3.6,46.4,10.95,23.35
Hungary,Europe,16.75,5.85,57.5,5.4,14.5
Iceland,Europe,33.95,11.45,26.7,3.55,24.35
Netherlands,Europe,17.6,3.1,41.1,9.45,28.75
Portugal,Europe,5.6,17.5,41.9,8.35,26.65
Scotland,Europe,31.7,3.9,44.75,5.1,14.55
Bangladesh,Asia,0,75,22,0,3
China,Asia,0,62,20,0,18
Hong Kong,Asia,0,25,19,49,7
India,Asia,0,38,29,0,33
Japan,Asia,0,0,60,10.4,29.6
Malaysia,Asia,0,35.7,36.9,15.5,11.9
Pakistan,Asia,0,29,37,0,34
Saudi Arabia,Asia,0,0,63,12,25
Singapore,Asia,0,5.9,16.6,70,7.5
South Korea,Asia,0,45,26,0,29
