Country,Year,Age Group,Suicide Rate,Continent
Afghanistan,2000,0-14 year olds,0.16487537,Asia
Afghanistan,2000,15-19 year olds,5.5183773,Asia
Afghanistan,2000,20-24 year olds,7.4896345,Asia
Afghanistan,2000,25-34 year olds,7.91458,Asia
Afghanistan,2000,35-44 year olds,9.798257,Asia
Afghanistan,2000,45-54 year olds,11.58998,Asia
Afghanistan,2000,55-64 year olds,10.979993,Asia
Afghanistan,2000,65-74 year olds,14.919313,Asia
Afghanistan,2000,75-84 year olds,13.917504,Asia
Afghanistan,2000,85+ year olds,17.842901,Asia
Afghanistan,2001,0-14 year olds,0.16052273,Asia
Afghanistan,2001,15-19 year olds,5.5184655,Asia
Afghanistan,2001,20-24 year olds,7.384694,Asia
Afghanistan,2001,25-34 year olds,8.071305,Asia
Afghanistan,2001,35-44 year olds,9.954312,Asia
Afghanistan,2001,45-54 year olds,11.745995,Asia
Afghanistan,2001,55-64 year olds,11.185317,Asia
Afghanistan,2001,65-74 year olds,15.116012,Asia
Afghanistan,2001,75-84 year olds,14.078633,Asia
Afghanistan,2001,85+ year olds,18.074045,Asia
Afghanistan,2002,0-14 year olds,0.14778389,Asia
Afghanistan,2002,15-19 year olds,5.2566457,Asia
Afghanistan,2002,20-24 year olds,7.005573,Asia
Afghanistan,2002,25-34 year olds,7.899818,Asia
Afghanistan,2002,35-44 year olds,9.781692,Asia
Afghanistan,2002,45-54 year olds,11.482041,Asia
Afghanistan,2002,55-64 year olds,11.074488,Asia
Afghanistan,2002,65-74 year olds,14.978398,Asia
Afghanistan,2002,75-84 year olds,13.984147,Asia
Afghanistan,2002,85+ year olds,18.051832,Asia
Afghanistan,2003,0-14 year olds,0.1709412,Asia
Afghanistan,2003,15-19 year olds,5.284144,Asia
Afghanistan,2003,20-24 year olds,7.034045,Asia
Afghanistan,2003,25-34 year olds,7.946478,Asia
Afghanistan,2003,35-44 year olds,9.69879,Asia
Afghanistan,2003,45-54 year olds,11.172194,Asia
Afghanistan,2003,55-64 year olds,10.807978,Asia
Afghanistan,2003,65-74 year olds,14.721315,Asia
Afghanistan,2003,75-84 year olds,13.800326,Asia
Afghanistan,2003,85+ year olds,17.881819,Asia
Afghanistan,2004,0-14 year olds,0.18106185,Asia
Afghanistan,2004,15-19 year olds,5.226237,Asia
Afghanistan,2004,20-24 year olds,6.9458923,Asia
Afghanistan,2004,25-34 year olds,7.959975,Asia
Afghanistan,2004,35-44 year olds,9.700879,Asia
Afghanistan,2004,45-54 year olds,11.275108,Asia
Afghanistan,2004,55-64 year olds,10.65537,Asia
Afghanistan,2004,65-74 year olds,14.583328,Asia
Afghanistan,2004,75-84 year olds,13.719892,Asia
Afghanistan,2004,85+ year olds,17.8462,Asia
Afghanistan,2005,0-14 year olds,0.18188979,Asia
Afghanistan,2005,15-19 year olds,5.0474796,Asia
Afghanistan,2005,20-24 year olds,6.7404346,Asia
Afghanistan,2005,25-34 year olds,7.798581,Asia
Afghanistan,2005,35-44 year olds,9.597765,Asia
Afghanistan,2005,45-54 year olds,11.094158,Asia
Afghanistan,2005,55-64 year olds,10.486601,Asia
Afghanistan,2005,65-74 year olds,14.332308,Asia
Afghanistan,2005,75-84 year olds,13.55763,Asia
Afghanistan,2005,85+ year olds,17.71381,Asia
Afghanistan,2006,0-14 year olds,0.18873149,Asia
Afghanistan,2006,15-19 year olds,4.9007134,Asia
Afghanistan,2006,20-24 year olds,6.691366,Asia
Afghanistan,2006,25-34 year olds,7.724596,Asia
Afghanistan,2006,35-44 year olds,9.583388,Asia
Afghanistan,2006,45-54 year olds,8.93274,Asia
Afghanistan,2006,55-64 year olds,10.244895,Asia
Afghanistan,2006,65-74 year olds,14.076307,Asia
Afghanistan,2006,75-84 year olds,13.402928,Asia
Afghanistan,2006,85+ year olds,17.61093,Asia
Afghanistan,2007,0-14 year olds,0.19459714,Asia
Afghanistan,2007,15-19 year olds,4.7307243,Asia
Afghanistan,2007,20-24 year olds,6.5372005,Asia
Afghanistan,2007,25-34 year olds,7.535195,Asia
Afghanistan,2007,35-44 year olds,9.485977,Asia
Afghanistan,2007,45-54 year olds,8.838426,Asia
Afghanistan,2007,55-64 year olds,9.944778,Asia
Afghanistan,2007,65-74 year olds,13.734545,Asia
Afghanistan,2007,75-84 year olds,13.136581,Asia
Afghanistan,2007,85+ year olds,17.396643,Asia
Afghanistan,2008,0-14 year olds,0.19879174,Asia
Afghanistan,2008,15-19 year olds,4.5839314,Asia
Afghanistan,2008,20-24 year olds,6.3432717,Asia
Afghanistan,2008,25-34 year olds,7.257308,Asia
Afghanistan,2008,35-44 year olds,9.277716,Asia
Afghanistan,2008,45-54 year olds,8.717706,Asia
Afghanistan,2008,55-64 year olds,9.593075,Asia
Afghanistan,2008,65-74 year olds,13.366164,Asia
Afghanistan,2008,75-84 year olds,12.860266,Asia
Afghanistan,2008,85+ year olds,17.174904,Asia
Afghanistan,2009,0-14 year olds,0.21086453,Asia
Afghanistan,2009,15-19 year olds,4.4662566,Asia
Afghanistan,2009,20-24 year olds,6.2270794,Asia
Afghanistan,2009,25-34 year olds,7.034205,Asia
Afghanistan,2009,35-44 year olds,7.6740956,Asia
Afghanistan,2009,45-54 year olds,8.24551,Asia
Afghanistan,2009,55-64 year olds,9.155039,Asia
Afghanistan,2009,65-74 year olds,12.934384,Asia
Afghanistan,2009,75-84 year olds,12.548925,Asia
Afghanistan,2009,85+ year olds,16.839865,Asia
Afghanistan,2010,0-14 year olds,0.20631406,Asia
Afghanistan,2010,15-19 year olds,4.369609,Asia
Afghanistan,2010,20-24 year olds,6.1210527,Asia
Afghanistan,2010,25-34 year olds,6.8476095,Asia
Afghanistan,2010,35-44 year olds,7.451175,Asia
Afghanistan,2010,45-54 year olds,7.92049,Asia
Afghanistan,2010,55-64 year olds,8.9625635,Asia
Afghanistan,2010,65-74 year olds,12.571075,Asia
Afghanistan,2010,75-84 year olds,12.278524,Asia
Afghanistan,2010,85+ year olds,16.600504,Asia
Afghanistan,2011,0-14 year olds,0.19706854,Asia
Afghanistan,2011,15-19 year olds,4.2595854,Asia
Afghanistan,2011,20-24 year olds,5.9592013,Asia
Afghanistan,2011,25-34 year olds,6.6458955,Asia
Afghanistan,2011,35-44 year olds,8.559438,Asia
Afghanistan,2011,45-54 year olds,8.898577,Asia
Afghanistan,2011,55-64 year olds,8.621114,Asia
Afghanistan,2011,65-74 year olds,12.234822,Asia
Afghanistan,2011,75-84 year olds,12.034965,Asia
Afghanistan,2011,85+ year olds,16.405748,Asia
Afghanistan,2012,0-14 year olds,0.17977983,Asia
Afghanistan,2012,15-19 year olds,4.2234545,Asia
Afghanistan,2012,20-24 year olds,5.871861,Asia
Afghanistan,2012,25-34 year olds,6.511892,Asia
Afghanistan,2012,35-44 year olds,8.436211,Asia
Afghanistan,2012,45-54 year olds,8.704301,Asia
Afghanistan,2012,55-64 year olds,8.378695,Asia
Afghanistan,2012,65-74 year olds,11.970946,Asia
Afghanistan,2012,75-84 year olds,11.834626,Asia
Afghanistan,2012,85+ year olds,16.23315,Asia
Afghanistan,2013,0-14 year olds,0.16715582,Asia
Afghanistan,2013,15-19 year olds,4.144974,Asia
Afghanistan,2013,20-24 year olds,5.850614,Asia
Afghanistan,2013,25-34 year olds,6.449465,Asia
Afghanistan,2013,35-44 year olds,8.32631,Asia
Afghanistan,2013,45-54 year olds,8.559121,Asia
Afghanistan,2013,55-64 year olds,8.165015,Asia
Afghanistan,2013,65-74 year olds,11.732215,Asia
Afghanistan,2013,75-84 year olds,11.690265,Asia
Afghanistan,2013,85+ year olds,16.108711,Asia
Afghanistan,2014,0-14 year olds,0.14009725,Asia
Afghanistan,2014,15-19 year olds,4.050564,Asia
Afghanistan,2014,20-24 year olds,5.774136,Asia
Afghanistan,2014,25-34 year olds,6.288765,Asia
Afghanistan,2014,35-44 year olds,8.11172,Asia
Afghanistan,2014,45-54 year olds,8.235242,Asia
Afghanistan,2014,55-64 year olds,7.914925,Asia
Afghanistan,2014,65-74 year olds,11.481333,Asia
Afghanistan,2014,75-84 year olds,11.553531,Asia
Afghanistan,2014,85+ year olds,15.99598,Asia
Afghanistan,2015,0-14 year olds,0.12234385,Asia
Afghanistan,2015,15-19 year olds,4.1190085,Asia
Afghanistan,2015,20-24 year olds,5.9229007,Asia
Afghanistan,2015,25-34 year olds,6.4329586,Asia
Afghanistan,2015,35-44 year olds,6.917544,Asia
Afghanistan,2015,45-54 year olds,7.5696917,Asia
Afghanistan,2015,55-64 year olds,7.861871,Asia
Afghanistan,2015,65-74 year olds,11.463273,Asia
Afghanistan,2015,75-84 year olds,11.53246,Asia
Afghanistan,2015,85+ year olds,16.03605,Asia
Afghanistan,2016,0-14 year olds,0.11448151,Asia
Afghanistan,2016,15-19 year olds,3.9953806,Asia
Afghanistan,2016,20-24 year olds,5.799584,Asia
Afghanistan,2016,25-34 year olds,6.342979,Asia
Afghanistan,2016,35-44 year olds,6.9727573,Asia
Afghanistan,2016,45-54 year olds,7.860379,Asia
Afghanistan,2016,55-64 year olds,7.8185835,Asia
Afghanistan,2016,65-74 year olds,11.422937,Asia
Afghanistan,2016,75-84 year olds,11.595132,Asia
Afghanistan,2016,85+ year olds,16.166471,Asia
Afghanistan,2017,0-14 year olds,0.119078584,Asia
Afghanistan,2017,15-19 year olds,3.455773,Asia
Afghanistan,2017,20-24 year olds,5.9040775,Asia
Afghanistan,2017,25-34 year olds,6.4998856,Asia
Afghanistan,2017,35-44 year olds,7.647324,Asia
Afghanistan,2017,45-54 year olds,8.528487,Asia
Afghanistan,2017,55-64 year olds,7.7457786,Asia
Afghanistan,2017,65-74 year olds,11.330617,Asia
Afghanistan,2017,75-84 year olds,11.5794525,Asia
Afghanistan,2017,85+ year olds,16.190514,Asia
Afghanistan,2018,0-14 year olds,0.10407208,Asia
Afghanistan,2018,15-19 year olds,3.462953,Asia
Afghanistan,2018,20-24 year olds,5.91298,Asia
Afghanistan,2018,25-34 year olds,6.4967957,Asia
Afghanistan,2018,35-44 year olds,7.495211,Asia
Afghanistan,2018,45-54 year olds,8.515391,Asia
Afghanistan,2018,55-64 year olds,7.6081276,Asia
Afghanistan,2018,65-74 year olds,11.203655,Asia
Afghanistan,2018,75-84 year olds,11.516288,Asia
Afghanistan,2018,85+ year olds,16.134466,Asia
